147,Repulse Bay Airport,Repulse Bay,Canada,YUT,CYUT,"","",80,"","",America/Winnipeg,airport
148,Hall Beach Airport,Hall Beach,Canada,YUX,CYUX,"","",30,"","",America/Toronto,airport
149,Rouyn Noranda Airport,Rouyn,Canada,YUY,CYUY,"","",988,"","",America/Toronto,airport
150,La Ronge Airport,La Ronge,Canada,YVC,CYVC,"","",1242,"","",America/Regina,airport
151,Vermilion Airport,Vermillion,Canada,YVG,CYVG,"","",2025,"","",America/Edmonton,airport
152,Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,CYVM,"","",21,"","",America/Toronto,airport
153,Val-d'Or Airport,Val D'or,Canada,YVO,CYVO,"","",1107,"","",America/Toronto,airport
154,Kuujjuaq Airport,Quujjuaq,Canada,YVP,CYVP,"","",129,"","",America/Toronto,airport
155,Norman Wells Airport,Norman Wells,Canada,YVQ,CYVQ,"","",238,"","",America/Edmonton,airport
156,Vancouver International Airport,Vancouver,Canada,YVR,CYVR,"","",14,"","",America/Vancouver,airport
157,Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,CYVT,"","",1423,"","",America/Regina,airport
158,Wiarton Airport,Wiarton,Canada,YVV,CYVV,"","",729,"","",America/Toronto,airport
159,Petawawa Airport,Petawawa,Canada,YWA,CYWA,"","",427,"","",America/Toronto,airport
160,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,CYWG,"","",783,"","",America/Winnipeg,airport
161,Wabush Airport,Wabush,Canada,YWK,CYWK,"","",1808,"","",America/Halifax,airport
162,Williams Lake Airport,Williams Lake,Canada,YWL,CYWL,"","",3085,"","",America/Vancouver,airport
163,Wrigley Airport,Wrigley,Canada,YWY,CYWY,"","",489,"","",America/Edmonton,airport
164,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,CYXC,"","",3082,"","",America/Edmonton,airport
165,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,CYXD,"","",2202,"","",America/Edmonton,airport
166,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,CYXE,"","",1653,"","",America/Regina,airport
167,Medicine Hat Airport,Medicine Hat,Canada,YXH,CYXH,"","",2352,"","",America/Edmonton,airport
168,Fort St John Airport,Fort Saint John,Canada,YXJ,CYXJ,"","",2280,"","",America/Dawson_Creek,airport
169,Sioux Lookout Airport,Sioux Lookout,Canada,YXL,CYXL,"","",1258,"","",America/Winnipeg,airport
170,Pangnirtung Airport,Pangnirtung,Canada,YXP,CYXP,"","",75,"","",America/Toronto,airport
171,Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,CYXR,"","",800,"","",America/Toronto,airport
172,Prince George Airport,Prince George,Canada,YXS,CYXS,"","",2267,"","",America/Vancouver,airport
173,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT,"","",713,"","",America/Vancouver,airport
174,London Airport,London,Canada,YXU,CYXU,"","",912,"","",America/Toronto,airport
175,Abbotsford Airport,Abbotsford,Canada,YXX,CYXX,"","",195,"","",America/Vancouver,airport
176,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,CYXY,"","",2317,"","",America/Vancouver,airport
177,North Bay Jack Garland Airport,North Bay,Canada,YYB,CYYB,"","",1215,"","",America/Toronto,airport
178,Calgary International Airport,Calgary,Canada,YYC,CYYC,"","",3557,"","",America/Edmonton,airport
179,Smithers Airport,Smithers,Canada,YYD,CYYD,"","",1712,"","",America/Vancouver,airport
180,Fort Nelson Airport,Fort Nelson,Canada,YYE,CYYE,"","",1253,"","",America/Vancouver,airport
181,Penticton Airport,Penticton,Canada,YYF,CYYF,"","",1129,"","",America/Vancouver,airport
182,Charlottetown Airport,Charlottetown,Canada,YYG,CYYG,"","",160,"","",America/Halifax,airport
183,Taloyoak Airport,Spence Bay,Canada,YYH,CYYH,"","",92,"","",America/Edmonton,airport
184,Victoria International Airport,Victoria,Canada,YYJ,CYYJ,"","",63,"","",America/Vancouver,airport
185,Lynn Lake Airport,Lynn Lake,Canada,YYL,CYYL,"","",1170,"","",America/Winnipeg,airport
186,Swift Current Airport,Swift Current,Canada,YYN,CYYN,"","",2680,"","",America/Regina,airport
187,Churchill Airport,Churchill,Canada,YYQ,CYYQ,"","",94,"","",America/Winnipeg,airport
